Keyword,Lyrics,Song,Album,Artist
car,"If I borrowed your car, I'm sure I filled it up with chickens",STAYED DOWN,I NEVER LIKED YOU (EXTENDED),Future
car,Over three M&Ms just on the car,CHICKENS,I NEVER LIKED YOU (EXTENDED),Future
car,You ain't got enough to gamble then you can put up your car,GOLD STACKS,I NEVER LIKED YOU (EXTENDED),Future
car,"When I switch my wrist up, switch my car, switch my bitch up",HOLY GHOST,I NEVER LIKED YOU (EXTENDED),Future
car,"You can't shoot it out the car, put in leg work",AFFILIATED,I NEVER LIKED YOU (EXTENDED),Future
foreign,"Black foreign automobiles, Wakanda",CHICKENS,I NEVER LIKED YOU (EXTENDED),Future
foreign,"The way things goin', oh, (Gotta pull up foreign, you know what I'm sayin'?)",THE WAY THINGS GOING,I NEVER LIKED YOU (EXTENDED),Future
foreign,"Foreign push-start auto, this not a Silverado (Not a Silvеrado)",FOR A NUT,I NEVER LIKED YOU (EXTENDED),Future
foreign,"Slide off, I got a foreign bitch at my hideout",HOLY GHOST,I NEVER LIKED YOU (EXTENDED),Future
foreign,I'm in a foreign doin' donuts (Skrr),I’M DAT NIGGA,I NEVER LIKED YOU (EXTENDED),Future
cars,"ATL nigga, all the cars California plates",I’M ON ONE,I NEVER LIKED YOU (EXTENDED),Future
cars,"Wiped down, cleaning my cars in the rain, I got OCD",HOLY GHOST,I NEVER LIKED YOU (EXTENDED),Future
cars,Bought a gang of cars like a pack of Starburst,AFFILIATED,I NEVER LIKED YOU (EXTENDED),Future
cars,"Young wild niggas, I'ma stay around, ridin' hot cars with no license (Hell)",AFFILIATED,I NEVER LIKED YOU (EXTENDED),Future
ghost,"I got the Midas touch, extended Rolls-Royce Ghost",WE JUS WANNA GET HIGH,I NEVER LIKED YOU (EXTENDED),Future
ghost,Future - HOLY GHOST (Türkçe Çeviri)*,HOLY GHOST,I NEVER LIKED YOU (EXTENDED),Future
ghost,HOLY GHOST Lyrics,HOLY GHOST,I NEVER LIKED YOU (EXTENDED),Future
ghost,"“HOLY GHOST” is the thirteenth track on Future’s ninth studio album, I NEVER LIKED YOU.",HOLY GHOST,I NEVER LIKED YOU (EXTENDED),Future
pull up,Hunnid racks just to pull up in the driveway (Street),STAYED DOWN,I NEVER LIKED YOU (EXTENDED),Future
pull up,"The way things goin', gotta pull up in that drop",THE WAY THINGS GOING,I NEVER LIKED YOU (EXTENDED),Future
pull up,"The way things goin', oh, (Gotta pull up foreign, you know what I'm sayin'?)",THE WAY THINGS GOING,I NEVER LIKED YOU (EXTENDED),Future
pull up,Pull up in the hood in two-seats,AFFILIATED,I NEVER LIKED YOU (EXTENDED),Future
bentley,Snatch up a Bentley truck just off the row,CHICKENS,I NEVER LIKED YOU (EXTENDED),Future
bentley,"If I OD, I'ma be on a Bentley spree, you must not know me",HOLY GHOST,I NEVER LIKED YOU (EXTENDED),Future
bentley,"My first Bentley coupe, I adapted (Pluto)",I’M DAT NIGGA,I NEVER LIKED YOU (EXTENDED),Future
ride,"Got more K in the Phantom, you wanna ride the Honda Civic",STAYED DOWN,I NEVER LIKED YOU (EXTENDED),Future
ride,"I'm okay with that hammer, I gotta ride with the extended",STAYED DOWN,I NEVER LIKED YOU (EXTENDED),Future
